Date,TMax,TMin,Prcp
1950-12-01,36.8863878,18.1663872,0.0341340
1950-12-02,34.9963879,20.9923884,0.1000748
1950-12-03,41.9443881,29.9923879,0.1466212
1950-12-04,45.9223882,30.0283879,0.0038789
1950-12-05,41.9263877,26.9863878,0.0038789
1950-12-06,48.8023880,30.9463880,0.1939433
1950-12-07,46.9123877,35.9503880,0.0263763
1950-12-08,54.7783875,35.0323878,0.0310309
1950-12-09,55.9663872,35.1403880,0.0310309
1950-12-10,61.9063875,31.9903880,0.0038789
1950-12-11,54.9223873,39.8203880,0.0193943
1950-12-12,49.9003874,35.8603879,0.0193943
1950-12-13,39.0283879,25.0423884,0.0492616
1950-12-14,47.0203876,35.9143879,0.4220207
1950-12-15,50.9083882,32.0263879,0.0000000
1950-12-16,49.9183878,32.0803879,0.0000000
1950-12-17,48.9643883,27.0583882,0.0000000
1950-12-18,44.1043878,26.0143879,0.0000000
1950-12-19,50.9443873,31.1803880,0.0000000
1950-12-20,46.7683878,27.9583882,0.0000000
1950-12-21,40.0543878,29.3983879,0.0000000
1950-12-22,41.9623877,26.0323878,0.0193943
1950-12-23,39.3163881,24.2683878,0.0000000
1950-12-24,46.5163881,22.8643883,0.0000000
1950-12-25,50.9983885,26.3383880,0.0000000
1950-12-26,50.1703884,21.3343876,0.0000000
1950-12-27,41.9263877,18.0583882,0.0077577
1950-12-28,41.8723882,26.0683878,0.1000748
1950-12-29,48.5323887,29.7583879,0.0000000
1950-12-30,47.6143883,27.9763881,0.0659407
1950-12-31,37.9303881,19.8403877,0.0659407
1951-01-01,39.7710577,19.8810573,0.0037847
1951-01-02,41.8590574,29.7630578,0.0711515
1951-01-03,41.7690579,25.8030577,0.0000000
1951-01-04,40.8150575,30.8250576,0.1021856
1951-01-05,44.5590574,17.8110580,0.0000000
1951-01-06,44.2350577,12.9870575,0.0000000
1951-01-07,47.6370575,23.6970580,0.0000000
1951-01-08,39.7890581,26.6670577,0.0000000
1951-01-09,43.8210577,30.5730576,0.0113540
1951-01-10,43.6050579,28.8270578,0.0480651
1951-01-11,35.9730576,29.7090576,0.1021856
1951-01-12,37.7730579,16.6950582,0.0000000
1951-01-13,39.8250580,17.7750572,0.0000000
1951-01-14,44.8470580,24.0030573,0.0037847
1951-01-15,42.7230574,31.4910576,0.0862901
1951-01-16,33.8310576,16.6950582,0.0075693
1951-01-17,36.9630578,31.7970577,0.0257356
1951-01-18,37.7010575,17.8470571,0.1513861
1951-01-19,32.8590577,17.8110580,0.0189233
1951-01-20,32.8050577,17.6490577,0.0037847
1951-01-21,40.8510575,28.8090578,0.0946163
1951-01-22,41.8050579,31.9410577,0.0000000
1951-01-23,51.6330579,38.5650575,0.0000000
1951-01-24,54.7110580,27.8910578,0.0000000
1951-01-25,53.5950582,19.8090574,0.0000000
1951-01-26,51.8130569,26.0730579,0.0000000
1951-01-27,41.8590574,16.8930576,0.0000000
1951-01-28,33.8310576,13.7610580,0.0000000
1951-01-29,23.6790576,3.8790584,0.0000000
1951-01-30,29.7450576,-4.9589430,0.0000000
1951-01-31,27.7470575,6.0570585,0.0257356
1951-02-01,32.8905528,15.8085533,0.0190640
1951-02-02,41.4945524,25.0605531,0.0038128
1951-02-03,39.6405529,25.8345528,0.1677633
1951-02-04,42.8445524,32.6565529,0.1525121
1951-02-05,48.0465531,29.8125529,0.0648176
1951-02-06,45.9045530,29.0745529,0.0259271
1951-02-07,47.8305533,33.9885528,0.0000000
1951-02-08,57.7665524,26.8965531,0.0000000
1951-02-09,61.7985537,27.0405529,0.0000000
1951-02-10,54.7065527,34.5285529,0.0000000
1951-02-11,45.9945524,32.7285529,0.0000000
1951-02-12,46.8585525,28.7145530,0.0457536
1951-02-13,50.7825522,17.9685530,0.0000000
1951-02-14,47.8845528,27.0945529,0.0000000
1951-02-15,50.7465531,23.8725525,0.0000000
1951-02-16,48.7485537,13.9365534,0.0000000
1951-02-17,41.9085525,19.9305533,0.0000000
1951-02-18,37.7865530,15.0525532,0.0000000
1951-02-19,47.6505526,13.8825522,0.0381280
1951-02-20,43.7265529,19.9125529,0.0190640
1951-02-21,36.7425527,15.7725525,0.1029457
1951-02-22,33.8445529,23.7285527,0.0457536
1951-02-23,35.8065529,18.7785527,0.0457536
1951-02-24,38.8305528,14.8365534,0.0000000
1951-02-25,36.0405529,20.7045530,0.0000000
1951-02-26,33.0165529,17.7705536,0.0000000
1951-02-27,36.7425527,14.8365534,0.1296353
1951-02-28,37.8405529,20.8305533,0.0000000
1951-03-01,36.0022318,18.7222318,0.0000000
1951-03-02,32.9062318,15.7162325,0.0000000
1951-03-03,28.0102319,7.0582317,0.0279996
1951-03-04,38.9002318,24.8602315,0.1111748
1951-03-05,34.9942317,22.9522316,0.0568227
1951-03-06,41.9602315,27.9382320,0.0000000
1951-03-07,40.7722318,25.6342316,0.0000000
1951-03-08,44.9302317,28.8562320,0.0000000
1951-03-09,32.1862318,15.7342312,0.0938809
1951-03-10,33.9682318,2.2702303,0.0000000
1951-03-11,46.9282319,12.9982321,0.0000000
1951-03-12,56.8282310,24.9142319,0.0000000
1951-03-13,58.8622313,29.7022318,0.0000000
1951-03-14,63.7942308,30.5842318,0.0000000
1951-03-15,62.5882307,31.0342318,0.0000000
1951-03-16,48.6742315,20.8822314,0.0000000
1951-03-17,49.1962315,12.9802317,0.0000000
1951-03-18,57.9982321,16.4182314,0.0000000
1951-03-19,62.8402330,20.1262321,0.0000000
1951-03-20,66.6562311,27.8482316,0.0000000
1951-03-21,60.7342312,30.0082317,0.0000000
1951-03-22,47.9542322,19.9462315,0.0000000
1951-03-23,59.7802317,12.1162325,0.0000000
1951-03-24,65.8282328,12.3142319,0.0000000
1951-03-25,58.7902313,28.0102319,0.0000000
1951-03-26,57.8182314,21.9622321,0.0000000
1951-03-27,58.8622313,14.1682314,0.0000000
1951-03-28,64.8742315,16.1122313,0.0000000
1951-03-29,57.8722326,34.8502318,0.0000000
1951-03-30,44.8222318,20.9722318,0.0000000
1951-03-31,51.0322323,22.6102315,0.0000000
1951-04-01,58.9209625,16.0449630,0.0000000
1951-04-02,68.8749637,25.1889629,0.0000000
1951-04-03,69.9369640,25.2609628,0.0000000
1951-04-04,69.8649623,34.2609626,0.0000000
1951-04-05,68.7669612,29.1489625,0.0000000
1951-04-06,69.8649623,26.1069624,0.0000000
